,Subjects,Test Session,Accuracy,Electrode Distance,xshift,yshift,Runs
141,1.0,1.0,0.4100875,34.0,-0.8306957483291626,-4.535527229309082,2.0
142,1.0,1.0,0.4205,34.0,-0.7536033391952515,-4.333208084106445,3.0
143,1.0,1.0,0.4438875,34.0,-0.6883904933929443,-4.715504169464111,4.0
144,1.0,1.0,0.4381625,34.0,-0.6682347655296326,-4.5000410079956055,5.0
145,1.0,1.0,0.243725,34.5,-1.18691885471344,-0.37165653705596924,1.0
146,1.0,1.0,0.2339625,34.5,-1.192335605621338,0.10624289512634277,2.0
147,1.0,1.0,0.42485,34.5,-0.8068345785140991,-4.500088214874268,3.0
148,1.0,1.0,0.2421375,34.5,-1.500035285949707,5.135411262512207,4.0
149,1.0,1.0,0.2379375,34.5,-1.4997891187667847,5.0907883644104,5.0
150,1.0,1.0,0.233975,35.0,-1.1103742122650146,-0.211201012134552,1.0
151,1.0,1.0,0.2448875,35.0,-0.43164634704589844,-0.4079917371273041,2.0
152,1.0,1.0,0.379075,35.0,-0.8051515817642212,-4.500266075134277,3.0
153,1.0,1.0,0.39485,35.0,-0.847492516040802,-4.570833206176758,4.0
154,1.0,1.0,0.2380625,35.0,-0.4132605195045471,-0.028561944141983986,5.0
155,1.0,1.0,0.2657375,35.5,-1.1007431745529175,0.1805814653635025,1.0
156,1.0,1.0,0.2693375,35.5,-1.0779660940170288,0.2600008249282837,2.0
157,1.0,1.0,0.2745125,35.5,-1.081676959991455,-0.3379911184310913,3.0
158,1.0,1.0,0.2613625,35.5,-1.0955560207366943,0.3189687728881836,4.0
159,1.0,1.0,0.26975,35.5,-1.072497844696045,0.03134624660015106,5.0
160,1.0,1.0,0.251625,36.0,-0.40045619010925293,0.18832580745220184,1.0
161,1.0,1.0,0.2559,36.0,-0.4234786033630371,0.19743777811527252,2.0
162,1.0,1.0,0.2578875,36.0,-0.3828045427799225,0.011989825405180454,3.0
163,1.0,1.0,0.2339375,36.0,-1.5000543594360352,4.4804229736328125,4.0
164,1.0,1.0,0.2572875,36.0,-0.3294961750507355,0.14646658301353455,5.0
